Distancia (m),Chalcedony,Kaolinite,Paragonite,Muscovite,Calcite,Gypsum
113.5,0,0.078376,-0.001081,-0.000017,0,0
114.5,0,0.077203,-0.001045,-0.000017,0,0
115.5,0,0.076061,-0.001011,-0.000016,0,0
116.5,0,0.074949,-0.000978,-0.000016,0,0
117.5,0,0.073866,-0.000946,-0.000015,0,0
118.5,0,0.07281,-0.000916,-0.000015,0,0
119.5,0,0.071782,-0.000888,-0.000014,0,0
120.5,0,0.070779,-0.00086,-0.000014,0,0
121.5,0,0.069801,-0.000834,-0.000014,0,0
122.5,0,0.068847,-0.000809,-0.000013,0,0
123.5,0,0.067916,-0.000785,-0.000013,0,0
124.5,0,0.067008,-0.000762,-0.000013,0,0
125.5,0,0.066122,-0.00074,-0.000012,0,0
126.5,0,0.065256,-0.000719,-0.000012,0,0
127.5,0,0.06441,-0.000699,-0.000012,0,0
128.5,0,0.063584,-0.000679,-0.000011,0,0
129.5,0,0.062777,-0.00066,-0.000011,0,0
130.5,0,0.061989,-0.000642,-0.000011,0,0
131.5,0,0.061218,-0.000625,-0.000011,0,0
132.5,0,0.060464,-0.000609,-0.00001,0,0
133.5,0,0.059727,-0.000593,-0.00001,0,0
134.5,0,0.059006,-0.000577,-0.00001,0,0
135.5,0,0.0583,-0.000562,-0.00001,0,0
136.5,0,0.05761,-0.000548,-0.000009,0,0
137.5,0,0.056934,-0.000534,-0.000009,0,0
138.5,0,0.056273,-0.000521,-0.000009,0,0
139.5,0,0.055625,-0.000508,-0.000009,0,0
140.5,0,0.054991,-0.000496,-0.000009,0,0
141.5,0,0.05437,-0.000484,-0.000008,0,0
142.5,0,0.053761,-0.000472,-0.000008,0,0
143.5,0,0.053165,-0.000461,-0.000008,0,0
144.5,0,0.05258,-0.000451,-0.000008,0,0
145.5,0,0.052008,-0.00044,-0.000008,0,0
146.5,0,0.051446,-0.00043,-0.000008,0,0
147.5,0,0.050895,-0.00042,-0.000007,0,0
148.5,0,0.050355,-0.000411,-0.000007,0,0
149.5,0,0.049826,-0.000402,-0.000007,0,0
150.5,0,0.049306,-0.000393,-0.000007,0,0
151.5,0,0.048796,-0.000384,-0.000007,0,0
152.5,0,0.048296,-0.000376,-0.000007,0,0
153.5,0,0.047805,-0.000368,-0.000007,0,0
154.5,0,0.047323,-0.00036,-0.000006,0,0
155.5,0,0.04685,-0.000353,-0.000006,0,0
156.5,0,0.046385,-0.000346,-0.000006,0,0
157.5,0,0.045929,-0.000338,-0.000006,0,0
158.5,0,0.045481,-0.000332,-0.000006,0,0
159.5,0,0.045041,-0.000325,-0.000006,0,0
160.5,0,0.044608,-0.000318,-0.000006,0,0
161.5,0,0.044183,-0.000312,-0.000006,0,0
162.5,0,0.043766,-0.000306,-0.000006,0,0
163.5,0,0.043355,-0.0003,-0.000005,0,0
164.5,0,0.042952,-0.000294,-0.000005,0,0
165.5,0,0.042555,-0.000288,-0.000005,0,0
166.5,0,0.042165,-0.000283,-0.000005,0,0
167.5,0,0.041782,-0.000278,-0.000005,0,0
168.5,0,0.041404,-0.000273,-0.000005,0,0
169.5,0,0.041033,-0.000267,-0.000005,0,0
170.5,0,0.040669,-0.000263,-0.000005,0,0
171.5,0,0.040309,-0.000258,-0.000005,0,0
172.5,0,0.039956,-0.000253,-0.000005,0,0
173.5,0,0.039609,-0.000249,-0.000005,0,0
174.5,0,0.039266,-0.000244,-0.000005,0,0
175.5,0,0.03893,-0.00024,-0.000004,0,0
176.5,0,0.038598,-0.000236,-0.000004,0,0
177.5,0,0.038272,-0.000232,-0.000004,0,0
178.5,0,0.037951,-0.000228,-0.000004,0,0
179.5,0,0.037634,-0.000224,-0.000004,0,0
180.5,0,0.037323,-0.00022,-0.000004,0,0
181.5,0,0.037016,-0.000216,-0.000004,0,0
182.5,0,0.036713,-0.000213,-0.000004,0,0
183.5,0,0.036416,-0.000209,-0.000004,0,0
184.5,0,0.036122,-0.000206,-0.000004,0,0
185.5,0,0.035833,-0.000202,-0.000004,0,0
186.5,0,0.035548,-0.000199,-0.000004,0,0
187.5,0,0.035268,-0.000196,-0.000004,0,0
188.5,0,0.034991,-0.000193,-0.000004,0,0
189.5,0,0.034718,-0.00019,-0.000004,0,0
